,Caste and Religion,Economic Issues,Social Issues,Infrastructure Development,Local Leadership and Candidates,Public Sentiment and Perception,Community Engagement,Campaign Messaging
Ward1,0.03480027,0.958613713,0.988536257,0.33621636,0.811563031,0.154975842,0.480066517,0.463854282
Ward2,0.975994674,0.149584103,0.706012692,0.378637521,0.477209561,0.522461667,0.161390129,0.562879871
Ward3,0.941637739,0.086473755,0.263131853,0.686049082,0.385554138,0.773252295,0.833052087,0.395946329
Ward4,0.963526481,0.031423438,0.826626427,0.191156082,0.434969868,0.69226814,0.366383238,0.757309842
Ward5,0.294096861,0.860616285,0.327156266,0.705475022,0.087008493,0.463338805,0.469058305,0.16302819
Ward6,0.152352278,0.196090717,0.662618248,0.798542534,0.762555434,0.573910232,0.046582017,0.080743606
Ward7,0.727121426,0.495221536,0.641969548,0.017663571,0.244474388,0.950388659,0.786412085,0.868906789
Ward8,0.216373253,0.730325369,0.864400647,0.949553241,0.210427104,0.874965587,0.093341773,0.270949687
Ward9,0.161399689,0.349553659,0.67225565,0.371677941,0.047967832,0.079185125,0.291199117,0.918241227
Ward10,0.063871767,0.215195997,0.292234809,0.562014036,0.968586717,0.609265728,0.446102046,0.339566921
Ward11,0.782053627,0.236384776,0.731825338,0.332871678,0.819629396,0.715227527,0.542634444,0.722412436
Ward12,0.929739253,0.596367949,0.301755421,0.163766749,0.068759527,0.562105371,0.863990209,0.11636416
Ward13,0.087450293,0.458382148,0.508205104,0.81831072,0.195658426,0.534900577,0.32294857,0.285124401
Ward14,0.062167538,0.240761622,0.953521476,0.650523573,0.638912263,0.892401074,0.396481274,0.802300294
Ward15,0.040099486,0.033650176,0.645476599,0.864645551,0.965442127,0.005853734,0.577377827,0.378399278
Ward16,0.436999223,0.629251694,0.559874179,0.198786297,0.99559717,0.124715355,0.599524098,0.144482102
Ward17,0.435909675,0.981885884,0.889850568,0.253743247,0.021720158,0.985384034,0.146559796,0.636047018
Ward18,0.074196667,0.168120449,0.217109022,0.621789888,0.993901337,0.519942594,0.632077697,0.897934942
Ward19,0.913059221,0.244097572,0.982499965,0.131422335,0.298257401,0.498931815,0.839844121,0.359101261
Ward20,0.127896117,0.860835991,0.171383665,0.238983507,0.622685523,0.546414843,0.181701864,0.560118622
Ward21,0.751411738,0.397727345,0.183642748,0.175821545,0.120658517,0.884624516,0.293867066,0.665708909
Ward22,0.080334546,0.277494618,0.337674877,0.509621862,0.754251013,0.685486497,0.008981211,0.075592865
Ward23,0.216196472,0.010076028,0.348098555,0.951538311,0.277746286,0.172400677,0.29636802,0.542807047
Ward24,0.762594705,0.468726903,0.872821615,0.394896795,0.583713683,0.297544355,0.261914304,0.490300341
Ward25,0.461389412,0.530669458,0.990928336,0.822042104,0.741243996,0.027913726,0.253198821,0.750897292
Ward26,0.782626552,0.114422434,0.27345434,0.821516412,0.26062704,0.072465601,0.072421656,0.942591822
Ward27,0.40887463,0.004320344,0.964128031,0.140931513,0.461924476,0.69948124,0.117836328,0.675526652
Ward28,0.323991857,0.233392229,0.170146503,0.401112401,0.268208725,0.565028439,0.294680907,0.499101299
Ward29,0.785338886,0.839082388,0.786048943,0.173715599,0.918640212,0.622759431,0.591160679,0.474064118
Ward30,0.809731147,0.080508652,0.578262543,0.98734574,0.695799558,0.341220986,0.26967823,0.691144671
Ward31,0.12244684,0.037628464,0.628452577,0.670199331,0.785468884,0.704793784,0.715903445,0.19389074
Ward32,0.109999176,0.609590546,0.79949167,0.988054858,0.6376449,0.286782654,0.056643171,0.33607871
Ward33,0.89475921,0.240588866,0.645463098,0.609522111,0.651467935,0.410225514,0.012083136,0.645871037
Ward34,0.480040443,0.894882126,0.025456048,0.657015661,0.05555947,0.579389173,0.207130829,0.22711022
Ward35,0.096791759,0.73467722,0.58344281,0.967378951,0.601312095,0.039856806,0.260800152,0.996046785
Ward36,0.244775035,0.06688041,0.745114823,0.29709559,0.741384674,0.728325484,0.3283633,0.470540975
Ward37,0.588486999,0.308322389,0.722583943,0.358116094,0.05614704,0.702965088,0.422181835,0.920646843
Ward38,0.758834222,0.127026706,0.8965012,0.277415086,0.456472063,0.454680852,0.925017441,0.779846789
Ward39,0.066781685,0.710569856,0.812381171,0.661915653,0.238959878,0.560060614,0.961144774,0.953309823
Ward40,0.919102772,0.114976874,0.482652123,0.541902254,0.304978328,0.9347928,0.891740352,0.126639776
Ward41,0.794779343,0.741108352,0.714378973,0.014307106,0.731048004,0.700543657,0.696014174,0.305745591
Ward42,0.623487013,0.334193418,0.335724635,0.138267615,0.214958144,0.078379803,0.608764982,0.758678399
Ward43,0.856941414,0.144447562,0.911352653,0.271825273,0.042599638,0.632440891,0.888123067,0.693069561
Ward44,0.341397934,0.290280687,0.424709298,0.327667095,0.031122383,0.314192748,0.540243601,0.589183464
Ward45,0.088075671,0.441452112,0.545223696,0.869981027,0.529622245,0.469815845,0.071654154,0.072666333
Ward46,0.542788317,0.219903317,0.311578783,0.578934739,0.46012766,0.618738441,0.446893574,0.206721369
Ward47,0.337943779,0.605701392,0.88578088,0.029263317,0.096329215,0.888851774,0.997219892,0.284363583
Ward48,0.570524693,0.270433293,0.74099917,0.584166925,0.295175493,0.738155432,0.068901522,0.741538353
Ward49,0.800948168,0.246820629,0.959757135,0.764167882,0.33243716,0.312090473,0.134969258,0.396689514
Ward50,0.976487313,0.816994362,0.54460535,0.503292934,0.924031904,0.342787341,0.043495855,0.369041196
Ward51,0.903226676,0.933567293,0.065232665,0.851512984,0.6432218,0.100941851,0.257579778,0.458101529
Ward52,0.119154566,0.398541094,0.694283053,0.170547268,0.587811921,0.584897472,0.310429339,0.46155948
Ward53,0.275611999,0.549013571,0.721103773,0.004826691,0.122451439,0.951267659,0.512153352,0.201624281
Ward54,0.34689993,0.727911655,0.687360544,0.155748687,0.604654118,0.810336751,0.987020709,0.765596941
Ward55,0.172503203,0.421266934,0.593086813,0.544124239,0.376791105,0.365688811,0.053663079,0.319970272
Ward56,0.767707837,0.3012778,0.076036326,0.46467891,0.738823786,0.105004817,0.764759901,0.786058544
Ward57,0.187226818,0.628903217,0.083268143,0.836576851,0.284140061,0.453257364,0.768153596,0.84689298
Ward58,0.372685356,0.712531304,0.255563862,0.822828691,0.289897569,0.032259264,0.549416163,0.122946729
Ward59,0.644963739,0.55871436,0.522064708,0.237170333,0.667308164,0.430709321,0.667195016,0.179020796
Ward60,0.840536113,0.107475276,0.739032001,0.718414755,0.178359292,0.474237623,0.049676797,0.840899188
Ward61,0.249169753,0.717503881,0.859021246,0.951322166,0.546418756,0.466901117,0.39839212,0.302879955
Ward62,0.476321602,0.342072511,0.151248817,0.699361127,0.613003493,0.003382228,0.493785844,0.144568404
Ward63,0.016035487,0.978780054,0.466384624,0.722487609,0.733040272,0.040381764,0.684944761,0.708071764
Ward64,0.639388514,0.481386784,0.306444242,0.881924607,0.855959181,0.894455858,0.93323216,0.197069573
Ward65,0.407506986,0.270345862,0.742635968,0.237489654,0.960096589,0.881682532,0.179240857,0.834973275
Ward66,0.579148645,0.028968293,0.938282716,0.699684875,0.951474824,0.430133413,0.802612031,0.31831911
Ward67,0.892268734,0.27914925,0.907358513,0.20356694,0.642878285,0.263214203,0.628038654,0.741217261
Ward68,0.915905273,0.41321474,0.971639838,0.385480325,0.394254337,0.253659076,0.699065831,0.904119065
Ward69,0.668241776,0.41982845,0.235005785,0.847031153,0.991332888,0.068803798,0.867791954,0.692964775
Ward70,0.307694262,0.150554691,0.362454304,0.478092281,0.940628247,0.948447617,0.151074017,0.074830362
Ward71,0.327546007,0.149837012,0.716262509,0.925337815,0.37259407,0.579061172,0.902476464,0.039743311
Ward72,0.420913246,0.940819928,0.147139161,0.691436406,0.946958708,0.364231806,0.093304593,0.947343113
Ward73,0.002861435,0.431973724,0.283609836,0.201809733,0.280217801,0.262373116,0.775485457,0.479499222
Ward74,0.725671064,0.506532201,0.446901265,0.706815824,0.132315683,0.977948369,0.41584829,0.006468634
Ward75,0.486172501,0.727023017,0.340073272,0.874107996,0.50124245,0.324494282,0.050117338,0.14198249
Ward76,0.723934014,0.080242524,0.530199352,0.546530409,0.179682746,0.893908139,0.466930378,0.102420211
Ward77,0.86086659,0.749066493,0.078901932,0.769109974,0.591409149,0.618069438,0.744893678,0.899737561
Ward78,0.031895908,0.426509714,0.698825355,0.250160985,0.169338955,0.572651852,0.847126196,0.269349521
Ward79,0.287660273,0.907490113,0.430060644,0.231076693,0.727627674,0.282584885,0.747781054,0.270414925
Ward80,0.714782664,0.233764545,0.006771058,0.680439942,0.45948083,0.829616458,0.801898278,0.342325281
Ward81,0.74874894,0.562352382,0.013536593,0.623155089,0.546495309,0.952376033,0.490572627,0.525821319
Ward82,0.445964812,0.640453425,0.256352582,0.231425725,0.833785955,0.86366014,0.99680808,0.55470914
Ward83,0.210996595,0.778215343,0.62909894,0.736454023,0.945755303,0.710145944,0.109852135,0.458139285
Ward84,0.231934706,0.514936581,0.589876644,0.619078626,0.305289991,0.3879456,0.945109864,0.247807836
Ward85,0.263292847,0.303732075,0.2691444,0.09548506,0.333619019,0.616358437,0.167274326,0.36153682
Ward86,0.220879283,0.956763642,0.863557373,0.252657425,0.131541828,0.829731511,0.850055964,0.126715246
Ward87,0.357664887,0.647063038,0.00390847,0.221912539,0.05674363,0.807935516,0.327091527,0.920784685
Ward88,0.504994539,0.320145833,0.51473471,0.477163569,0.161220728,0.750466531,0.806067687,0.144859827
Ward89,0.612600403,0.675999069,0.171712555,0.397228453,0.5343323,0.34781104,0.445673991,0.322913023
Ward90,0.552723321,0.948486696,0.44195111,0.644573374,0.228174174,0.016494526,0.543427446,0.037269228
Ward91,0.211103106,0.339708258,0.173166054,0.942079847,0.176092482,0.074345535,0.899041615,0.028692916
Ward92,0.927408979,0.408863741,0.103628675,0.325545399,0.606602344,0.023344018,0.043239619,0.328477912
Ward93,0.669599059,0.620974585,0.040267786,0.490455551,0.706964596,0.490983039,0.562408831,0.036274571
Ward94,0.903019533,0.468666614,0.707462305,0.497145741,0.381847095,0.703030014,0.557979359,0.480267435
Ward95,0.868822835,0.56880079,0.834308172,0.991960684,0.411428276,0.107836461,0.772562505,0.858521777
Ward96,0.766359191,0.795972917,0.738843098,0.576524296,0.003667008,0.760685302,0.814791825,0.083360541
Ward97,0.767961959,0.168827191,0.152893677,0.993085089,0.403722338,0.541709432,0.181086745,0.879114067
Ward98,0.028119135,0.89223048,0.671885243,0.982165358,0.64030909,0.936961653,0.08637608,0.335522721
Ward99,0.530519758,0.180356173,0.490400696,0.679415991,0.252030389,0.705521034,0.038485376,0.674991965
Ward100,0.149383829,0.060808941,0.154716007,0.926329326,0.639175614,0.051170749,0.579273015,0.817380434