officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Adilabad H.O,504001,H.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-226738,,,,
Mancherial H.O,504208,H.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,08736-252003,,,,
Hanamkonda H.O,506001,H.O,Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Hanamkonda,Warangal,TELANGANA,0870-2455240,,,,
Jangaon H.O,506167,H.O,Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Jangaon,Warangal,TELANGANA,08716-222230,,,,
Parkal H.O,506164,H.O,Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Parkal,Warangal,TELANGANA,08713-241203,,,,
Jagtial H.O,505327,H.O,Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Jagtial,Karim Nagar,TELANGANA,08724-225859,,,,
Karimnagar H.O,505001,H.O,Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Karimnagar,Karim Nagar,TELANGANA,0878-2240290,,,,
Gadwal H.O,509125,H.O,Delivery,Mahabubnagar,Hyderabad,Andhra Pradesh,Gadwal,Mahabub Nagar,TELANGANA,08546-274877,,,,
Mahabubnagar H.O,509001,H.O,Delivery,Mahabubnagar,Hyderabad,Andhra Pradesh,Mahabubnagar H.o,Mahabub Nagar,TELANGANA,08542-241205,,,,
Medak H.O,502110,H.O,Delivery,Medak,Hyderabad,Andhra Pradesh,Medak,Medak,TELANGANA,08452-221597,,,,
Siddipet H.O,502103,H.O,Delivery,Medak,Hyderabad,Andhra Pradesh,Siddipet,Medak,TELANGANA,08457-223708,,,,
Bhongir H.O,508116,H.O,Delivery,Nalgonda,Hyderabad,Andhra Pradesh,Bhongiri,Nalgonda,TELANGANA,08685-242585,,,,
Nalgonda H.O,508001,H.O,Delivery,Nalgonda,Hyderabad,Andhra Pradesh,Nalgonda,Nalgonda,TELANGANA,08682-244204,,,,
Armoor H.O,503224,H.O,Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,08463-222338,,,,
Kamareddy H.O,503111,H.O,Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,08468-223322,,,,
Nizamabad H.O,503001,H.O,Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,08462-220038,,,,
Huzurabad H.O,505468,H.O,Delivery,Peddapalli,Hyderabad,Andhra Pradesh,Huzurabad,Karim Nagar,TELANGANA,08727-252030,,,,
Peddapalli H.O,505172,H.O,Delivery,Peddapalli,Hyderabad,Andhra Pradesh,Peddapalli,Karim Nagar,TELANGANA,0878-222093,,,,
Sangareddy H.O,502001,H.O,Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Sangareddy,Medak,TELANGANA,08455-276444,,,,
Zaheerabad H.O,502220,H.O,Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Zaheerabad,Medak,TELANGANA,08451-282210,,,,
Miryalguda H.O,508207,H.O,Delivery,Suryapet,Hyderabad,Andhra Pradesh,Miryalguda,Nalgonda,TELANGANA,08689-242833,,,,
Suryapet H.O,508213,H.O,Delivery,Suryapet,Hyderabad,Andhra Pradesh,Suryapet,Nalgonda,TELANGANA,08684-220037,,,,
Stn. Jadcherla H.O,509301,H.O,Delivery,Wanaparthy,Hyderabad,Andhra Pradesh,Stn. Jadcherla,Mahabub Nagar,TELANGANA,08542-232518,,,,
Wanaparthy H.O,509103,H.O,Delivery,Wanaparthy,Hyderabad,Andhra Pradesh,Wanaparthy,Mahabub Nagar,TELANGANA,08545-232007,,,,
Mahabubabad H.O,506101,H.O,Delivery,Warangal,Hyderabad,Andhra Pradesh,Mahabubabad,Warangal,TELANGANA,08719-240070,,,,
Warangal H.O,506002,H.O,Delivery,Warangal,Hyderabad,Andhra Pradesh,Warangal,Warangal,TELANGANA,0870-2422701,,,,
Khairatabad H.O,500004,H.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428322,,,,
Hyderabad G.P.O. ,500001,H.O,Delivery,Hyderabad GPO,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,040-23463515,,,,
Hyderabad Jubilee H.O,500002,H.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Charminar,Hyderabad,TELANGANA,040-23463822,,,,
Stn Kachiguda H.O,500027,H.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23463811,,,,
Secunderabad H.O,500003,H.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,040-23463713,,,,
Trimulgherry H.O,500015,H.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,Hyderabad,TELANGANA,040-23463755,,,,
Vikarabad H.O,501101,H.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,08416-252098,,,,
Anantapur H.O,515001,H.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Anantapur,Ananthapur,ANDHRA PRADESH,08554-274111,,,,
Guntakal H.O,515801,H.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Guntakal,Ananthapur,ANDHRA PRADESH,08552-226444,,,,
Chittoor H.O,517001,H.O,Delivery,Chittoor,Kurnool,Andhra Pradesh,Chittoor,Chittoor,ANDHRA PRADESH,08572-233486,,,,
Madanapalle H.O,517325,H.O,Delivery,Chittoor,Kurnool,Andhra Pradesh,Madanapalle,Chittoor,ANDHRA PRADESH,08571-222022,,,,
Cuddapah H.O,516001,H.O,Delivery,Cuddapah,Kurnool,Andhra Pradesh,Cuddapah,Cuddapah,ANDHRA PRADESH,08562-242444,,,,
Rajampet H.O,516115,H.O,Delivery,Cuddapah,Kurnool,Andhra Pradesh,Rajampet,Cuddapah,ANDHRA PRADESH,08565-240260,,,,
Dharmavaram H.O,515671,H.O,Delivery,Hindupur,Kurnool,Andhra Pradesh,Dharmavaram,Ananthapur,ANDHRA PRADESH,08559-222211,,,,
Hindupur H.O,515201,H.O,Delivery,Hindupur,Kurnool,Andhra Pradesh,Hindupur,Ananthapur,ANDHRA PRADESH,08556-220471,,,,
Adoni H.O,518301,H.O,Delivery,Kurnool,Kurnool,Andhra Pradesh,Adoni,Kurnool,ANDHRA PRADESH,08512-253949,,,,
Kurnool H.O,518001,H.O,Delivery,Kurnool,Kurnool,Andhra Pradesh,Kurnool,Kurnool,ANDHRA PRADESH,08518-289205,,,,
Markapur H.O,523316,H.O,Delivery,Nandyal,Kurnool,Andhra Pradesh,Markapur,Prakasam,ANDHRA PRADESH,08596-222022,,,,
Nandyal H.O,518501,H.O,Delivery,Nandyal,Kurnool,Andhra Pradesh,Nandyal,Kurnool,ANDHRA PRADESH,08514-242960,,,,
Proddatur H.O,516360,H.O,Delivery,Proddatur,Kurnool,Andhra Pradesh,Proddatur,Cuddapah,ANDHRA PRADESH,08564-251444,,,,
Pulivendla H.O,516390,H.O,Delivery,Proddatur,Kurnool,Andhra Pradesh,Pulivendla,Cuddapah,ANDHRA PRADESH,08568-226222,,,,
Chandragiri H.O,517101,H.O,Delivery,Tirupati,Kurnool,Andhra Pradesh,Chandragiri,Chittoor,ANDHRA PRADESH,0877-2289209,,,,
Srikalahasti H.O,517644,H.O,Delivery,Tirupati,Kurnool,Andhra Pradesh,Srikalahasti,Chittoor,ANDHRA PRADESH,08578-222207,,,,
Tirupati H.O,517501,H.O,Delivery,Tirupati,Kurnool,Andhra Pradesh,Tirupati (Urban),Chittoor,ANDHRA PRADESH,0877-2289204,,,,
Bhimavaram H.O,534201,H.O,Delivery,Bhimavaram,Vijayawada,Andhra Pradesh,Bhimavaram (mdl),West Godavari,ANDHRA PRADESH,08816-234444,,,,
Palakol H.O,534260,H.O,Delivery,Bhimavaram,Vijayawada,Andhra Pradesh,Palakol(mdl),West Godavari,ANDHRA PRADESH,08814-222885,,,,
Tanuku H.O,534211,H.O,Delivery,Bhimavaram,Vijayawada,Andhra Pradesh,Tanuku (mdl),West Godavari,ANDHRA PRADESH,08819-223322,,,,
Eluru H.O,534001,H.O,Delivery,Eluru,Vijayawada,Andhra Pradesh,Eluru,West Godavari,ANDHRA PRADESH,08812-227295,,,,
Jangareddygudem H.O,534447,H.O,Delivery,Eluru,Vijayawada,Andhra Pradesh,J.r.gudem,West Godavari,ANDHRA PRADESH,08821-225330,,,,
Gudivada H.O,521301,H.O,Delivery,Gudivada,Vijayawada,Andhra Pradesh,Gudivada,Krishna,ANDHRA PRADESH,08674-245041,,,,
Nuzvid H.O,521201,H.O,Delivery,Gudivada,Vijayawada,Andhra Pradesh,Nuzvid,Krishna,ANDHRA PRADESH,08656-232722,,,,
Gudur H.O,524101,H.O,Delivery,Gudur,Vijayawada,Andhra Pradesh,Gudur,Nellore,ANDHRA PRADESH,08624-220874,,,,
Guntur H.O,522002,H.O,Delivery,Guntur,Vijayawada,Andhra Pradesh,Guntur,Guntur,ANDHRA PRADESH,0863-2255971,,,,
Mangalagiri H.O,522503,H.O,Delivery,Guntur,Vijayawada,Andhra Pradesh,Mangalagiri,Guntur,ANDHRA PRADESH,08645-232203,,,,
Bhadrachalam H.O,507111,H.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Bhadrachalam,Khammam,TELANGANA,08743-232322,,,,
Khammam H.O,507001,H.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Khammam,Khammam,TELANGANA,08742-228438,,,,
Kothagudem Colls H.O,507101,H.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Kothagudem,Khammam,TELANGANA,08744-242608,,,,
Avanigadda H.O,521121,H.O,Delivery,Machilipatnam,Vijayawada,Andhra Pradesh,Avanigadda,Krishna,ANDHRA PRADESH,08671-272274,,,,
Machilipatnam H.O,521001,H.O,Delivery,Machilipatnam,Vijayawada,Andhra Pradesh,Bandar,Krishna,ANDHRA PRADESH,08672-223836,,,,
Narasaraopet H.O,522601,H.O,Delivery,Narasaraopet,Vijayawada,Andhra Pradesh,Narasaraopet,Guntur,ANDHRA PRADESH,08647-222022,,,,
Sattenapalle H.O,522403,H.O,Delivery,Narasaraopet,Vijayawada,Andhra Pradesh,Sattenapalle,Guntur,ANDHRA PRADESH,08641-232130,,,,
Kavali H.O,524201,H.O,Delivery,Nellore,Vijayawada,Andhra Pradesh,Kavali,Nellore,ANDHRA PRADESH,08626-243522,,,,
Nellore H.O,524001,H.O,Delivery,Nellore,Vijayawada,Andhra Pradesh,Nellore,Nellore,ANDHRA PRADESH,0861-2306704,,,,
Chirala H.O,523155,H.O,Delivery,Prakasam,Vijayawada,Andhra Pradesh,Chirala,Prakasam,ANDHRA PRADESH,08594-232444,,,,
Kandukur H.O,523105,H.O,Delivery,Prakasam,Vijayawada,Andhra Pradesh,Kandukur,Prakasam,ANDHRA PRADESH,08598-222797,,,,
Kanigiri H.O,523230,H.O,Delivery,Prakasam,Vijayawada,Andhra Pradesh,Kanigiri,Prakasam,ANDHRA PRADESH,08402-274122,,,,
Ongole H.O,523001,H.O,Delivery,Prakasam,Vijayawada,Andhra Pradesh,Ongole,Prakasam,ANDHRA PRADESH,08592-233520,,,,
Kovvur H.O,534350,H.O,Delivery,Tadepalligudem,Vijayawada,Andhra Pradesh,Kovvur,West Godavari,ANDHRA PRADESH,08813-231522,,,,
Tadepalligudem H.O,534101,H.O,Delivery,Tadepalligudem,Vijayawada,Andhra Pradesh,Tadepalligudem,West Godavari,ANDHRA PRADESH,08818-221300,,,,
Bapatla H.O,522101,H.O,Delivery,Tenali,Vijayawada,Andhra Pradesh,Bapatla,Guntur,ANDHRA PRADESH,08643-224022,,,,
Tenali H.O,522201,H.O,Delivery,Tenali,Vijayawada,Andhra Pradesh,Tenali,Guntur,ANDHRA PRADESH,08644-227863,,,,
Buckinghampet H.O,520002,H.O,Delivery,Vijayawada,Vijayawada,Andhra Pradesh,Vijayawada (Urban),Krishna,ANDHRA PRADESH,0866-2573022,,,,
Vijayawada H.O,520001,H.O,Delivery,Vijayawada,Vijayawada,Andhra Pradesh,Krishna,Krishna,ANDHRA PRADESH,0866-2425649,,,,
Amalapuram H.O,533201,H.O,Delivery,Amalapuram,Visakhapatnam,Andhra Pradesh,Amalapuram,East Godavari,ANDHRA PRADESH,08856-233026,,,,
Razole H.O,533242,H.O,Delivery,Amalapuram,Visakhapatnam,Andhra Pradesh,Razole,East Godavari,ANDHRA PRADESH,08862-221028,,,,
Anakapalle H.O,531001,H.O,Delivery,Anakapalle,Visakhapatnam,Andhra Pradesh,Anakapalle,Visakhapatnam,ANDHRA PRADESH,08924-223374,,,,
Narsipatnam H.O,531116,H.O,Delivery,Anakapalle,Visakhapatnam,Andhra Pradesh,Narsipatnam,Visakhapatnam,ANDHRA PRADESH,08932-226022,,,,
Kakinada H.O,533001,H.O,Delivery,Kakinada,Visakhapatnam,Andhra Pradesh,Kakinada,East Godavari,ANDHRA PRADESH,0884-2376134,,,,
Samalkot H.O,533440,H.O,Delivery,Kakinada,Visakhapatnam,Andhra Pradesh,Kakinada,East Godavari,ANDHRA PRADESH,0884-2327354,,,,
Bobbili H.O,535558,H.O,Delivery,Parvathipuram,Visakhapatnam,Andhra Pradesh,Bobbili,Vizianagaram,ANDHRA PRADESH,08944-255462,,,,
Parvatipuram H.O,535501,H.O,Delivery,Parvathipuram,Visakhapatnam,Andhra Pradesh,Parvathipuram,Vizianagaram,ANDHRA PRADESH,08963-221043,,,,
Rajahmundry H.O,533101,H.O,Delivery,Rajahmundry,Visakhapatnam,Andhra Pradesh,Rajahmundry,East Godavari,ANDHRA PRADESH,0883-2442338,,,,
Ramachandrapuram H.O,533255,H.O,Delivery,Rajahmundry,Visakhapatnam,Andhra Pradesh,Ramachandrapuram,East Godavari,ANDHRA PRADESH,08857-242326,,,,
Amadalavalasa H.O,532185,H.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Amadalavalasa,Srikakulam,ANDHRA PRADESH,08942-286232,,,,
Srikakulam H.O,532001,H.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Srikakulam,Srikakulam,ANDHRA PRADESH,08942-229906,,,,
Tekkali H.O,532201,H.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Tekkali,Srikakulam,ANDHRA PRADESH,08945-245472,,,,
Visakhapatnam H.O,530001,H.O,Delivery,Visakhapatnam,Visakhapatnam,Andhra Pradesh,Visakhapatnam (Urban),Visakhapatnam,ANDHRA PRADESH,0891-2546250,,,,
Waltair R S H.O,530004,H.O,Delivery,Visakhapatnam,Visakhapatnam,Andhra Pradesh,Visakhapatnam (Urban),Visakhapatnam,ANDHRA PRADESH,0891-2546301,,,,
Vizianagaram H.O,535002,H.O,Delivery,Vizianagaram,Visakhapatnam,Andhra Pradesh,Vizianagaram,Vizianagaram,ANDHRA PRADESH,08922-226855,,,,
Dibrugarh H.O,786001,H.O,Delivery,Dibrugarh,Dibrugarh,Assam,Dibrugarh,Dibrugarh,ASSAM,0373-2325006,,,,
North Lakhimpur H.O,787001,H.O,Delivery,Dibrugarh,Dibrugarh,Assam,North Lakhimpur,Lakhimpur,ASSAM,03752-222333,,,,
Diphu H.O,782460,H.O,Delivery,Nagaon,Dibrugarh,Assam,Diphu,Karbi Anglong,ASSAM,03671-272251,,,,
Nagaon H.O,782001,H.O,Delivery,Nagaon,Dibrugarh,Assam,Nagaon,Nagaon,ASSAM,03672-233342,,,,
Golaghat H.O,785621,H.O,Delivery,Sibsagar,Dibrugarh,Assam,Golaghat,Golaghat,ASSAM,03774-283497,,,,
Jorhat H.O,785001,H.O,Delivery,Sibsagar,Dibrugarh,Assam,Jorhat,Jorhat,ASSAM,0376-2320045,,,,
Sivasagar H.O,785640,H.O,Delivery,Sibsagar,Dibrugarh,Assam,Sivasagar,Sibsagar,ASSAM,03772-222722,,,,
Tinsukia H.O,786125,H.O,Delivery,Tinsukia,Dibrugarh,Assam,Tinsukia,Tinsukia,ASSAM,0374-2338115,,,,
Hailakandi H.O,788151,H.O,Delivery,Cachar,Guwahati HQ,Assam,,Cachar,ASSAM,03844-222228,,,,
Karimganj H.O,788710,H.O,Delivery,Cachar,Guwahati HQ,Assam,,Karimganj,ASSAM,03843-262258,,,,
Silchar H.O,788001,H.O,Delivery,Cachar,Guwahati HQ,Assam,,Cachar,ASSAM,03842-237230,,,,
Mangaldoi H.O,784125,H.O,Delivery,Darrang,Guwahati HQ,Assam,Mangaldoi,Darrang,ASSAM,03713-222170,,,,
Tezpur H.O,784001,H.O,Delivery,Darrang,Guwahati HQ,Assam,Tezpur,Sonitpur,ASSAM,03712-220183,,,,
Dhubri H.O,783301,H.O,Delivery,Goalpara,Guwahati HQ,Assam,Dhubri,Dhubri,ASSAM,03662-230257,,,,
Kokrajhar H.O,783370,H.O,Delivery,Goalpara,Guwahati HQ,Assam,Kokrajhar,Kokrajhar,ASSAM,03661-270656,,,,
Guwahati G.P.O. ,781001,H.O,Delivery,Guwahati,Guwahati HQ,Assam,Gmc,Kamrup,ASSAM,0361-2731170,,,,
Guwahati University H.O,781014,H.O,Delivery,Guwahati,Guwahati HQ,Assam,Gmc,Kamrup,ASSAM,0361-2570267,,,,
Barpeta H.O,781301,H.O,Delivery,Nalbari,Guwahati HQ,Assam,Barpeta,Barpeta,ASSAM,03665-252148,,,,
Nalbari H.O,781335,H.O,Delivery,Nalbari,Guwahati HQ,Assam,Nalbari,Nalbari,ASSAM,03624-220214,,,,
Begusarai H.O,851101,H.O,Delivery,Begusarai,Muzaffarpur,Bihar,Begusarai,Begusarai,BIHAR,06243-212872,,,,
Darbhanga H.O,846004,H.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Darbhanga,Darbhanga,BIHAR,06272-222636,,,,
Laheriasarai H.O,846001,H.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Darbhanga,Darbhanga,BIHAR,06272-245186,,,,
Motihari H.O,845401,H.O,Delivery,East Champaran,Muzaffarpur,Bihar,Motihari,East Champaran,BIHAR,06252-232934,,,,
Madhubani H.O,847211,H.O,Delivery,Madhubani,Muzaffarpur,Bihar,Sadar Madhubani,Madhubani,BIHAR,06276-222403,,,,
Muzaffarpur H.O,842001,H.O,Delivery,Muzaffarpur,Muzaffarpur,Bihar,Muzaffarpur,Muzaffarpur,BIHAR,0621-2216137,,,,
Katihar H.O,854105,H.O,Delivery,Purnea,Muzaffarpur,Bihar,Katihar,Katihar,BIHAR,06452-242301,,,,
Purnea H.O,854301,H.O,Delivery,Purnea,Muzaffarpur,Bihar,Purnea,Purnia,BIHAR,06454-242551,,,,
Saharsa H.O,852201,H.O,Delivery,Saharsa,Muzaffarpur,Bihar,Kahara,Saharsa,BIHAR,06478-223516,,,,
Samastipur H.O,848101,H.O,Delivery,Samastipur,Muzaffarpur,Bihar,Samastipur,Samastipur,BIHAR,06274-222465,,,,
Chapra H.O,841301,H.O,Delivery,Saran,Muzaffarpur,Bihar,Chapra,Saran,BIHAR,06152-232278,,,,
Marhowrah H.O,841418,H.O,Delivery,Saran,Muzaffarpur,Bihar,Chapra,Saran,BIHAR,06159-231330,,,,
Sitamarhi H.O,843301,H.O,Delivery,Sitamarhi,Muzaffarpur,Bihar,Dumra,Sitamarhi,BIHAR,06226-251232,,,,
Gopalganj H.O,841428,H.O,Delivery,Siwan,Muzaffarpur,Bihar,Gopalganj,Gopalganj,BIHAR,06156-224603,,,,
Siwan H.O,841226,H.O,Delivery,Siwan,Muzaffarpur,Bihar,Siwan,Siwan,BIHAR,06154-242989,,,,
Bettiah H.O,845438,H.O,Delivery,West Champaran,Muzaffarpur,Bihar,Bettiah,West Champaran,BIHAR,06254-242205,,,,
Aurangabad (BH) H.O,824101,H.O,Delivery,Aurangabad(Bihar),Patna HQ,Bihar,Aurangabad,Aurangabad(BH),BIHAR,06186-223145,,,,
Banka H.O,813102,H.O,Delivery,Bhagalpur,Patna HQ,Bihar,Banka,Banka,BIHAR,06424-232353,,,,
Bhagalpur H.O,812001,H.O,Delivery,Bhagalpur,Patna HQ,Bihar,Jagdishpur,Bhagalpur,BIHAR,0641-2400066,,,,
Arrah H.O,802301,H.O,Delivery,Bhojpur,Patna HQ,Bihar,Arrah,Bhojpur,BIHAR,06182-233329,,,,
Buxar H.O,802101,H.O,Delivery,Bhojpur,Patna HQ,Bihar,Buxar,Buxar,BIHAR,06183-227860,,,,
Gaya H.O,823001,H.O,Delivery,Gaya,Patna HQ,Bihar,Gaya,Gaya,BIHAR,0631-2223329,,,,
Jehanabad H.O,804408,H.O,Delivery,Gaya,Patna HQ,Bihar,Jehanabad,Jehanabad,BIHAR,06114-227844,,,,
Jamui H.O,811307,H.O,Delivery,Monghyr,Patna HQ,Bihar,Jamui,Jamui,BIHAR,06345-224039,,,,
Munger H.O,811201,H.O,Delivery,Monghyr,Patna HQ,Bihar,Munger,Munger,BIHAR,06344-222144,,,,
Biharsharif H.O,803101,H.O,Delivery,Nalanda,Patna HQ,Bihar,Biharsharif,Nalanda,BIHAR,06112-232034,,,,
Nawadha H.O,805110,H.O,Delivery,Nawadha,Patna HQ,Bihar,Nawadha,Nawada,BIHAR,06324-212306,,,,
Bankipore H.O,800004,H.O,Delivery,Patna,Patna HQ,Bihar,Sampatchak,Patna,BIHAR,0612-2665233,,,,
Patna G.P.O. ,800001,H.O,Delivery,Patna GPO,Patna HQ,Bihar,Phulwari,Patna,BIHAR,0612-2224150,,,,
Sasaram H.O,821115,H.O,Delivery,Rohtas,Patna HQ,Bihar,Sasaram,Rohtas,BIHAR,06184-222088,,,,
Hajipur H.O,844101,H.O,Delivery,Vaishali,Patna HQ,Bihar,Hajipur,Vaishali,BIHAR,0624-260239,,,,
Jagdalpur H.O,494001,H.O,Delivery,Bastar,Raipur,Chattisgarh,Jagdalpur,Bastar,CHATTISGARH,07782-222390,,,,
Kanker H.O,494334,H.O,Delivery,Bastar,Raipur,Chattisgarh,Kanker,Kanker,CHATTISGARH,07868-241477,,,,
Bilaspur (Bilaspur-CGH) H.O,495001,H.O,Delivery,Bilaspur,Raipur,Chattisgarh,Bilaspur,Bilaspur(CGH),CHATTISGARH,07752-228218,,,,
Korba H.O,495677,H.O,Delivery,Bilaspur,Raipur,Chattisgarh,Korba,Korba,CHATTISGARH,07759-227006,,,,
Durg H.O,491001,H.O,Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2323404,,,,
Ibsb Bhilai H.O,490001,H.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2278129,,,,
Rajnandgaon H.O,491441,H.O,Delivery,Durg,Raipur,Chattisgarh,Rajnandgaon,Rajnandgaon,CHATTISGARH,07744-224016,,,,
Ambikapur H.O,497001,H.O,Delivery,Raigarh,Raipur,Chattisgarh,Ambikapur,Surguja,CHATTISGARH,07774-220952,,,,
Raigarh H.O,496001,H.O,Delivery,Raigarh,Raipur,Chattisgarh,,Raigarh,CHATTISGARH,07762-223026,,,,
Raipur H.O,492001,H.O,Delivery,Raipur,Raipur,Chattisgarh,Raipur,Raipur,CHATTISGARH,0771-2234577,,,,
Jhilmil H.O,110095,H.O,Delivery,Delhi East,Delhi,Delhi,,East Delhi,DELHI,011-22129379,,,,
Krishna Nagar H.O,110051,H.O,Delivery,Delhi East,Delhi,Delhi,,East Delhi,DELHI,011-22373250,,,,
Delhi G.P.O. ,110006,H.O,Delivery,Delhi GPO,Delhi,Delhi,Delhi,North Delhi,DELHI,011-23869771,,,,
Ashok Vihar H.O,110052,H.O,Delivery,Delhi North,Delhi,Delhi,Delhi,North West Delhi,DELHI,011-27249661,,,,
